date,Monthly Real GDP Index
1992 - Jan,9067.774
1992 - Feb,9109.963
1992 - Mar,9189.427
1992 - Apr,9195.091
1992 - May,9170.911
1992 - Jun,9302.846
1992 - Jul,9317.153
1992 - Aug,9297.754
1992 - Sep,9322.958
1992 - Oct,9375.54
1992 - Nov,9403.24
1992 - Dec,9438.896
1993 - Jan,9420.823
1993 - Feb,9439.313
1993 - Mar,9410.121
1993 - Apr,9443.66
1993 - May,9497.358
1993 - Jun,9497.28
1993 - Jul,9472.073
1993 - Aug,9512.743
1993 - Sep,9592.15
1993 - Oct,9579.333
1993 - Nov,9681.341
1993 - Dec,9697.812
1994 - Jan,9700.644
1994 - Feb,9758.297
1994 - Mar,9783.485
1994 - Apr,9814.677
1994 - May,9923.384
1994 - Jun,9903.973
1994 - Jul,9910.073
1994 - Aug,9978.642
1994 - Sep,9928.281
1994 - Oct,10023.754
1994 - Nov,10014.943
1994 - Dec,10117.222
1995 - Jan,10122.023
1995 - Feb,10039.551
1995 - Mar,10097.684
1995 - Apr,10070.562
1995 - May,10096.208
1995 - Jun,10198.586
1995 - Jul,10144.694
1995 - Aug,10198.36
1995 - Sep,10282.389
1995 - Oct,10244.81
1995 - Nov,10254.199
1995 - Dec,10344.41
1996 - Jan,10329.186
1996 - Feb,10334.073
1996 - Mar,10383.137
1996 - Apr,10542.381
1996 - May,10498.317
1996 - Jun,10547.718
1996 - Jul,10595.578
1996 - Aug,10621.169
1996 - Sep,10663.426
1996 - Oct,10744.748
1996 - Nov,10760.196
1996 - Dec,10712.031
1997 - Jan,10712.745
1997 - Feb,10882.38
1997 - Mar,10867.323
1997 - Apr,10974.566
1997 - May,10934.095
1997 - Jun,11043.383
1997 - Jul,11087.185
1997 - Aug,11120.873
1997 - Sep,11163.546
1997 - Oct,11189.411
1997 - Nov,11171.567
1997 - Dec,11269.649
1998 - Jan,11205.303
1998 - Feb,11359.118
1998 - Mar,11398.931
1998 - Apr,11384.593
1998 - May,11403.456
1998 - Jun,11504.557
1998 - Jul,11496.947
1998 - Aug,11548.143
1998 - Sep,11695.843
1998 - Oct,11749.856
1998 - Nov,11792.382
1998 - Dec,11768.956
1999 - Jan,11801.61
1999 - Feb,11865.993
1999 - Mar,11925.613
1999 - Apr,11930.872
1999 - May,11977.046
1999 - Jun,11978.942
1999 - Jul,12096.86
1999 - Aug,12085.791
1999 - Sep,12155.819
1999 - Oct,12228.549
1999 - Nov,12311.599
1999 - Dec,12428.674
2000 - Jan,12291.468
2000 - Feb,12360.775
2000 - Mar,12423.961
2000 - Apr,12584.088
2000 - May,12573.804
2000 - Jun,12618.394
2000 - Jul,12529.27
2000 - Aug,12645.187
2000 - Sep,12647.038
2000 - Oct,12682.479
2000 - Nov,12690.507
2000 - Dec,12664.06
2001 - Jan,12661.631
2001 - Feb,12635.762
2001 - Mar,12631.806
2001 - Apr,12693.652
2001 - May,12761.019
2001 - Jun,12675.608
2001 - Jul,12641.964
2001 - Aug,12773.162
2001 - Sep,12594.511
2001 - Oct,12693.172
2001 - Nov,12614.722
2001 - Dec,12807.474
2002 - Jan,12854.551
2002 - Feb,12773.943
2002 - Mar,12837.823
2002 - Apr,12880.737
2002 - May,12869.76
2002 - Jun,12928.074
2002 - Jul,12987.089
2002 - Aug,12927.79
2002 - Sep,12951.884
2002 - Oct,12909.867
2002 - Nov,12951.657
2002 - Dec,13029.815
2003 - Jan,12990.021
2003 - Feb,13073.271
2003 - Mar,13029.849
2003 - Apr,13110.007
2003 - May,13101.365
2003 - Jun,13244.769
2003 - Jul,13299.823
2003 - Aug,13367.885
2003 - Sep,13449.266
2003 - Oct,13467.668
2003 - Nov,13549.643
2003 - Dec,13568.653
2004 - Jan,13502.43
2004 - Feb,13617.576
2004 - Mar,13699.252
2004 - Apr,13667.466
2004 - May,13771.963
2004 - Jun,13679.168
2004 - Jul,13811.572
2004 - Aug,13837.909
2004 - Sep,13842.849
2004 - Oct,13940.362
2004 - Nov,13942.49
2004 - Dec,13968.114
2005 - Jan,14106.923
2005 - Feb,14068.926
2005 - Mar,14121.407
2005 - Apr,14160.83
2005 - May,14123.309
2005 - Jun,14233.986
2005 - Jul,14267.289
2005 - Aug,14317.892
2005 - Sep,14290.015
2005 - Oct,14302.524
2005 - Nov,14356.661
2005 - Dec,14461.04
2006 - Jan,14504.602
2006 - Feb,14510.691
2006 - Mar,14622.918
2006 - Apr,14553.892
2006 - May,14618.494
2006 - Jun,14596.304
2006 - Jul,14553.839
2006 - Aug,14593.38
2006 - Sep,14660.712
2006 - Oct,14668.246
2006 - Nov,14750.429
2006 - Dec,14732.129
2007 - Jan,14695.518
2007 - Feb,14787.997
2007 - Mar,14694.53
2007 - Apr,14824.712
2007 - May,14844.77
2007 - Jun,14846.483
2007 - Jul,14839.165
2007 - Aug,14969.293
2007 - Sep,15006.955
2007 - Oct,14939.027
2007 - Nov,14998.304
2007 - Dec,15037.911
2008 - Jan,15022.486
2008 - Feb,14793.925
2008 - Mar,14851.942
2008 - Apr,14870.808
2008 - May,14893.412
2008 - Jun,15125.301
2008 - Jul,14981.595
2008 - Aug,14903.91
2008 - Sep,14789.142
2008 - Oct,14643.326
2008 - Nov,14669.401
2008 - Dec,14418.039
2009 - Jan,14406.595
2009 - Feb,14367.806
2009 - Mar,14350.684
2009 - Apr,14352.732
2009 - May,14366.808
2009 - Jun,14347.033
2009 - Jul,14347.443
2009 - Aug,14434.921
2009 - Sep,14425.073
2009 - Oct,14597.802
2009 - Nov,14559.768
2009 - Dec,14468.203
2010 - Jan,14545.888
2010 - Feb,14582.843
2010 - Mar,14685.587
2010 - Apr,14726.873
2010 - May,14740.551
2010 - Jun,14770.421
2010 - Jul,14832.186
2010 - Aug,14821.568
2010 - Sep,14882.667
2010 - Oct,14949.785
2010 - Nov,14897.879
2010 - Dec,14969.438
2011 - Jan,14832.178
2011 - Feb,14799.265
2011 - Mar,15012.439
2011 - Apr,15051.229
2011 - May,14990.402
2011 - Jun,14927.21
2011 - Jul,15007.7
2011 - Aug,15086.924
2011 - Sep,14969.18
2011 - Oct,15254.589
2011 - Nov,15171.068
2011 - Dec,15145.658
2012 - Jan,15220.51
2012 - Feb,15380.469
2012 - Mar,15272.269
2012 - Apr,15340.403
2012 - May,15359.559
2012 - Jun,15387.411
2012 - Jul,15430.005
2012 - Aug,15315.58
2012 - Sep,15396.871
2012 - Oct,15297.191
2012 - Nov,15366.818
2012 - Dec,15488.936
2013 - Jan,15549.113
2013 - Feb,15434.592
2013 - Mar,15492.205
2013 - Apr,15534.93
2013 - May,15447.715
2013 - Jun,15582.327
2013 - Jul,15604.044
2013 - Aug,15674.133
2013 - Sep,15646.17
2013 - Oct,15732.083
2013 - Nov,15841.499
2013 - Dec,15808.62
2014 - Jan,15703.792
2014 - Feb,15766.286
2014 - Mar,15803.116
2014 - Apr,15874.715
2014 - May,15945.68
2014 - Jun,15987.633
2014 - Jul,16091.238
2014 - Aug,16198.219
2014 - Sep,16129.628
2014 - Oct,16201.314
2014 - Nov,16234.402
2014 - Dec,16225.392
2015 - Jan,16328.114
2015 - Feb,16394.457
2015 - Mar,16327.676
2015 - Apr,16428.113
2015 - May,16435.83
2015 - Jun,16518.957
2015 - Jul,16474.899
2015 - Aug,16510.265
2015 - Sep,16597.818
2015 - Oct,16539.156
2015 - Nov,16528.631
2015 - Dec,16575.258
2016 - Jan,16558.456
2016 - Feb,16496.25
2016 - Mar,16660.207
2016 - Apr,16696.704
2016 - May,16634.301
2016 - Jun,16659.666
2016 - Jul,16686.562
2016 - Aug,16800.08
2016 - Sep,16847.776
2016 - Oct,16727.166
2016 - Nov,16907.772
2016 - Dec,16919.325
2017 - Jan,16854.337
2017 - Feb,16885.398
2017 - Mar,16969.991
2017 - Apr,16902.089
2017 - May,17058.224
2017 - Jun,17132.94
2017 - Jul,17112.918
2017 - Aug,17160.175
2017 - Sep,17218.643
2017 - Oct,17198.244
2017 - Nov,17309.881
2017 - Dec,17351.44
2018 - Jan,17333.609
2018 - Feb,17385.141
2018 - Mar,17411.662
2018 - Apr ,17521.43
2018 - May,17609.322
2018 - Jun,17571.546